line_id,plant_id,line_type,line_name,install_year
L001,P01,Pasteurizer,Pasteurizer-1,2009
L002,P01,Pasteurizer,Pasteurizer-2,2012
L003,P01,Homogenizer,Homogenizer-1,2015
L004,P01,Homogenizer,Homogenizer-2,2007
L005,P01,Filling-Line,Filling-Line-1,2022
L006,P01,Filling-Line,Filling-Line-2,2022
L007,P01,Packaging-Line,Packaging-Line-1,2007
L008,P01,Packaging-Line,Packaging-Line-2,2015
L009,P02,Pasteurizer,Pasteurizer-1,2016
L010,P02,Pasteurizer,Pasteurizer-2,2022
L011,P02,Homogenizer,Homogenizer-1,2009
L012,P02,Homogenizer,Homogenizer-2,2019
L013,P02,Filling-Line,Filling-Line-1,2013
L014,P02,Filling-Line,Filling-Line-2,2014
L015,P02,Packaging-Line,Packaging-Line-1,2020
L016,P02,Packaging-Line,Packaging-Line-2,2019
L017,P03,Pasteurizer,Pasteurizer-1,2017
L018,P03,Pasteurizer,Pasteurizer-2,2020
L019,P03,Homogenizer,Homogenizer-1,2008
L020,P03,Homogenizer,Homogenizer-2,2021
L021,P03,Filling-Line,Filling-Line-1,2006
L022,P03,Filling-Line,Filling-Line-2,2019
L023,P03,Packaging-Line,Packaging-Line-1,2016
L024,P03,Packaging-Line,Packaging-Line-2,2019
L025,P04,Pasteurizer,Pasteurizer-1,2019
L026,P04,Pasteurizer,Pasteurizer-2,2017
L027,P04,Homogenizer,Homogenizer-1,2020
L028,P04,Homogenizer,Homogenizer-2,2020
L029,P04,Filling-Line,Filling-Line-1,2014
L030,P04,Filling-Line,Filling-Line-2,2007
L031,P04,Packaging-Line,Packaging-Line-1,2008
L032,P04,Packaging-Line,Packaging-Line-2,2014
