customer_id,customer_name,country,account_tier,contract_start
RC100,Lidl,Germany,Local,2022-10-24
RC101,Edeka,UK,Key Account,2024-09-15
RC102,Real,Germany,Local,2021-02-12
RC103,dm,UK,Regional,2023-04-10
RC104,Aldi Nord,Germany,Local,2020-02-28
RC105,Edeka,UK,Key Account,2018-10-24
RC106,Aldi Sud,Germany,Regional,2019-12-23
RC107,dm,Germany,Regional,2024-04-26
RC108,Kaufland,Germany,Key Account,2022-01-06
RC109,Kaufland,Germany,Local,2019-03-23
RC110,dm,Germany,Regional,2021-08-23
RC111,Edeka,Germany,Key Account,2020-09-10
RC112,Edeka,Germany,Local,2018-08-29
RC113,Edeka,Italy,Key Account,2021-02-05
RC114,Globus,Germany,Local,2020-03-19
RC115,dm,UK,Key Account,2019-05-17
RC116,dm,Germany,Key Account,2021-08-15
RC117,Aldi Nord,Poland,Key Account,2018-08-05
RC118,Edeka,Germany,Key Account,2021-01-16
RC119,dm,Czech Republic,Regional,2019-03-01
RC120,Globus,Germany,Key Account,2020-03-25
RC121,Aldi Sud,UK,Regional,2021-04-15
RC122,Rewe,Germany,Key Account,2023-10-10
RC123,Real,Germany,Regional,2023-01-09
RC124,dm,Germany,Regional,2022-06-20
