batch_id,plant_id,line_id,sku_id,production_start,planned_qty_units,actual_qty_units,defect_units,batch_status
B100000,P01,L025,SKU509,2024-02-06 08:55:00,11140,10807,1330,Reworked
B100001,P04,L022,SKU512,2023-01-17 23:11:00,10198,10129,576,Reworked
B100002,P03,L030,SKU509,2024-08-28 19:42:00,3304,3101,64,Completed
B100003,P02,L031,SKU508,2024-02-14 12:28:00,4139,3991,203,Completed
B100004,P02,L023,SKU507,2024-11-25 09:36:00,12715,12374,683,Completed
B100005,P04,L012,SKU503,2024-07-10 06:23:00,12245,12166,168,Completed
B100006,P01,L020,SKU504,2024-12-09 12:43:00,11988,12185,275,Completed
B100007,P03,L014,SKU511,2024-02-19 08:32:00,4815,4838,300,Reworked
B100008,P01,L021,SKU501,2023-01-08 03:28:00,11178,10978,214,Completed
B100009,P01,L026,SKU501,2023-04-28 13:56:00,3097,3029,182,Completed
B100010,P03,L012,SKU505,2024-02-18 00:16:00,4594,4503,101,Completed
B100011,P04,L017,SKU511,2023-12-24 17:26:00,10976,10696,645,Scrapped
B100012,P03,L002,SKU509,2024-12-15 22:14:00,13105,12134,267,Reworked
B100013,P04,L024,SKU508,2024-01-06 11:45:00,13796,13655,73,Completed
B100014,P03,L016,SKU508,2025-02-13 04:01:00,19675,19510,512,Completed
B100015,P04,L015,SKU501,2023-06-18 22:39:00,17374,16874,1112,Reworked
B100016,P03,L018,SKU504,2023-12-13 09:16:00,8835,8897,217,Reworked
B100017,P01,L007,SKU501,2024-11-11 16:14:00,16091,15885,859,Completed
B100018,P04,L020,SKU511,2023-04-22 16:26:00,3721,3558,41,Completed
B100019,P02,L024,SKU511,2023-10-17 06:15:00,17430,16069,353,Completed
B100020,P03,L012,SKU503,2024-11-07 16:05:00,8959,8295,116,Reworked
B100021,P02,L005,SKU504,2024-06-14 02:07:00,15681,14978,662,Completed
B100022,P01,L013,SKU504,2024-12-01 06:17:00,19471,18813,530,Scrapped
B100023,P04,L007,SKU513,2024-04-09 03:46:00,14658,13729,1510,Completed
B100024,P04,L012,SKU507,2025-02-12 06:31:00,18564,17430,58,Completed
B100025,P03,L021,SKU511,2025-02-28 16:25:00,2182,2057,173,Reworked
B100026,P02,L004,SKU506,2025-05-27 02:28:00,5069,5059,71,Scrapped
B100027,P04,L024,SKU510,2023-04-20 19:31:00,13269,13230,310,Reworked
B100028,P03,L008,SKU507,2024-06-16 01:41:00,11730,11240,558,Completed
B100029,P02,L029,SKU504,2023-04-13 20:04:00,4168,3906,456,Completed
B100030,P02,L024,SKU513,2023-07-26 00:06:00,14930,13901,1032,Scrapped
B100031,P01,L009,SKU510,2023-09-28 06:54:00,3056,2838,327,Completed
B100032,P01,L019,SKU511,2024-08-04 12:43:00,19833,19022,65,Completed
B100033,P03,L004,SKU514,2024-01-24 02:14:00,4815,4451,238,Scrapped
B100034,P04,L004,SKU503,2025-02-17 06:18:00,10018,9550,396,Completed
B100035,P01,L031,SKU501,2023-09-26 16:30:00,16819,17090,667,Completed
B100036,P04,L026,SKU508,2024-07-09 12:09:00,11252,10922,257,Reworked
B100037,P04,L005,SKU504,2024-11-17 20:50:00,15389,15423,1001,Scrapped
B100038,P02,L010,SKU506,2025-06-01 06:40:00,14665,13681,205,Completed
B100039,P03,L007,SKU503,2023-08-09 17:44:00,19077,18062,603,Completed
B100040,P01,L013,SKU505,2024-10-22 05:50:00,10351,10502,581,Completed
B100041,P04,L010,SKU505,2023-03-18 07:08:00,19621,18803,175,Completed
B100042,P03,L011,SKU505,2024-05-04 02:07:00,11301,11129,452,Completed
B100043,P02,L017,SKU511,2024-01-08 10:04:00,18079,18397,1528,Completed
B100044,P01,L007,SKU508,2025-05-12 16:40:00,15187,14808,212,Completed
B100045,P04,L029,SKU507,2024-11-27 00:59:00,4392,4174,259,Completed
B100046,P02,L024,SKU501,2025-04-14 12:37:00,13585,13220,171,Reworked
B100047,P04,L025,SKU508,2025-02-04 12:08:00,17810,16482,840,Scrapped
B100048,P03,L006,SKU502,2024-01-05 14:29:00,4310,4013,150,Completed
B100049,P04,L023,SKU504,2024-10-22 00:14:00,17095,15739,795,Reworked
B100050,P04,L027,SKU506,2023-01-28 10:05:00,3897,3929,141,Completed
B100051,P01,L006,SKU502,2024-05-17 02:21:00,17679,17451,2338,Reworked
B100052,P02,L025,SKU505,2023-02-12 13:40:00,16200,15387,383,Completed
B100053,P02,L012,SKU504,2024-10-13 18:32:00,4730,4456,326,Reworked
B100054,P02,L026,SKU512,2025-05-20 01:12:00,15076,14899,238,Reworked
B100055,P01,L016,SKU512,2024-09-05 06:00:00,4102,4151,124,Reworked
B100056,P03,L026,SKU500,2025-01-25 22:38:00,12224,11611,298,Scrapped
B100057,P01,L005,SKU509,2023-07-30 22:19:00,18628,17736,866,Reworked
B100058,P03,L013,SKU509,2025-06-13 12:22:00,5707,5737,278,Scrapped
B100059,P03,L009,SKU505,2024-05-10 16:23:00,5128,5175,564,Reworked
B100060,P04,L008,SKU507,2024-08-30 00:08:00,9611,9720,131,Completed
B100061,P03,L010,SKU511,2024-11-24 13:09:00,8635,8197,228,Scrapped
B100062,P02,L013,SKU505,2024-07-29 15:12:00,2872,2676,41,Reworked
B100063,P04,L005,SKU500,2023-10-13 09:48:00,10207,9839,39,Completed
B100064,P02,L023,SKU505,2024-07-04 06:53:00,6671,6334,46,Completed
B100065,P02,L018,SKU503,2024-08-11 13:49:00,4239,4274,155,Completed
B100066,P04,L027,SKU505,2025-02-10 14:30:00,6968,6436,105,Reworked
B100067,P02,L023,SKU503,2024-03-09 07:58:00,2371,2331,121,Completed
B100068,P01,L005,SKU502,2024-03-27 14:52:00,18470,18666,505,Completed
B100069,P02,L003,SKU514,2024-03-28 20:13:00,19893,20244,239,Completed
B100070,P04,L014,SKU501,2023-04-13 23:29:00,8617,8487,304,Scrapped
B100071,P01,L016,SKU510,2023-03-23 01:11:00,17779,18045,360,Completed
B100072,P02,L008,SKU510,2023-01-19 09:20:00,10304,9557,101,Reworked
B100073,P01,L026,SKU509,2024-08-22 14:17:00,18422,17610,101,Completed
B100074,P03,L019,SKU513,2024-01-12 23:22:00,5116,4711,85,Completed
B100075,P02,L024,SKU500,2025-02-18 02:50:00,7122,7251,266,Completed
B100076,P02,L004,SKU504,2024-09-24 00:19:00,15316,15473,312,Scrapped
B100077,P01,L027,SKU502,2023-05-08 06:54:00,5961,5500,161,Completed
B100078,P03,L007,SKU508,2023-04-01 01:34:00,16823,15507,1052,Reworked
B100079,P03,L015,SKU509,2023-11-26 11:52:00,9665,9246,35,Scrapped
B100080,P04,L015,SKU513,2025-04-08 20:22:00,9270,8768,198,Completed
B100081,P02,L027,SKU505,2023-02-13 19:13:00,10159,10206,137,Reworked
B100082,P01,L009,SKU503,2023-06-18 15:51:00,16361,15314,189,Reworked
B100083,P04,L008,SKU513,2023-01-27 16:02:00,2100,2098,4,Completed
B100084,P03,L011,SKU510,2024-01-08 07:09:00,15512,15131,207,Completed
B100085,P03,L012,SKU511,2025-06-09 16:37:00,16026,15348,540,Scrapped
B100086,P01,L006,SKU506,2024-09-07 08:13:00,16780,15682,551,Completed
