shipment_id,batch_id,customer_id,ship_date,qty_units,shipment_status
SH200000,B101515,RC101,2023-09-16 00:33:00,7605,Delivered
SH200001,B101956,RC116,2024-02-18 03:23:00,6912,Delivered
SH200002,B101203,RC112,2024-09-26 11:05:00,3325,Delivered
SH200003,B100131,RC118,2024-08-27 18:36:00,1867,Delivered
SH200004,B101731,RC104,2025-02-22 00:15:00,7767,Delayed
SH200005,B100060,RC118,2023-05-25 01:28:00,1524,Delivered
SH200006,B100829,RC121,2023-08-03 11:15:00,672,Delivered
SH200007,B102517,RC101,2023-04-05 07:25:00,7057,Delivered
SH200008,B101393,RC122,2024-03-07 20:50:00,2233,Delivered
SH200009,B101761,RC110,2025-03-04 21:46:00,4794,In Transit
SH200010,B102894,RC102,2024-10-06 22:56:00,2719,Delivered
SH200011,B100674,RC112,2023-06-06 02:28:00,2993,Delivered
SH200012,B102539,RC112,2024-05-09 23:20:00,7458,Delivered
SH200013,B102255,RC123,2024-05-11 06:07:00,1149,Delivered
SH200014,B101139,RC114,2025-03-14 01:42:00,3605,Delivered
SH200015,B100791,RC105,2024-01-25 11:54:00,3174,Delivered
SH200016,B100821,RC103,2025-05-12 21:34:00,2303,Delivered
SH200017,B101259,RC120,2024-01-25 00:50:00,5816,Delivered
SH200018,B101917,RC100,2023-01-08 06:46:00,5579,Delivered
SH200019,B101353,RC111,2025-05-11 10:49:00,7383,Delivered
SH200020,B100441,RC109,2024-08-21 01:32:00,2821,Delivered
SH200021,B102865,RC105,2023-11-05 15:11:00,3495,Delivered
SH200022,B101166,RC115,2023-09-23 00:11:00,3423,Delivered
SH200023,B102675,RC101,2023-06-12 07:41:00,3081,Delivered
SH200024,B100568,RC102,2024-03-30 03:05:00,6734,Delivered
SH200025,B100835,RC109,2023-02-11 00:38:00,1787,Delivered
SH200026,B102330,RC110,2024-03-07 00:01:00,2438,Delivered
SH200027,B100835,RC112,2024-08-15 01:10:00,6838,Delivered
SH200028,B102684,RC100,2023-05-02 09:48:00,6798,Delivered
SH200029,B101265,RC116,2023-04-04 10:59:00,7380,Delivered
SH200030,B101370,RC114,2023-02-15 01:29:00,1932,Delivered
SH200031,B100012,RC124,2023-02-11 13:14:00,7650,Delivered
SH200032,B101267,RC102,2023-01-18 21:22:00,7223,Delivered
SH200033,B100926,RC105,2023-12-18 20:06:00,4561,Delivered
SH200034,B101643,RC118,2023-12-17 02:52:00,6384,In Transit
SH200035,B102855,RC119,2025-03-05 16:40:00,7168,Delayed
SH200036,B100042,RC117,2024-11-30 12:24:00,6255,Returned
SH200037,B102514,RC119,2023-02-01 11:22:00,6122,Delivered
SH200038,B101199,RC109,2024-11-13 22:38:00,2054,Delivered
SH200039,B101605,RC124,2024-06-07 20:27:00,4052,Delivered
SH200040,B101410,RC111,2025-01-31 17:59:00,5767,Returned
SH200041,B101456,RC121,2025-05-24 16:28:00,5450,Delayed
SH200042,B102474,RC119,2024-04-16 01:37:00,5477,Delivered
SH200043,B102835,RC112,2023-11-02 08:27:00,7969,Delivered
SH200044,B102969,RC111,2024-09-03 01:20:00,7392,Delivered
SH200045,B101779,RC102,2025-06-05 01:55:00,1447,Delivered
SH200046,B102100,RC107,2023-06-03 11:50:00,1765,Delivered
SH200047,B102828,RC105,2023-10-20 01:28:00,6669,Delivered
SH200048,B102798,RC114,2024-02-17 18:01:00,3618,Delivered
SH200049,B102993,RC105,2023-07-21 00:58:00,6764,Delivered
SH200050,B100139,RC104,2024-07-16 09:20:00,599,Delivered
SH200051,B100101,RC122,2025-02-17 15:23:00,6080,Delivered
SH200052,B101742,RC103,2024-05-09 13:57:00,5461,Delivered
SH200053,B100355,RC100,2023-04-05 00:57:00,7936,Delayed
SH200054,B102591,RC113,2023-05-21 09:21:00,4648,In Transit
SH200055,B102283,RC103,2024-09-13 20:34:00,7926,Delivered
SH200056,B100379,RC110,2025-02-19 01:03:00,7492,Delivered
SH200057,B100378,RC124,2024-09-14 02:18:00,6153,Delivered
SH200058,B100316,RC100,2024-03-10 11:11:00,2050,Delivered
SH200059,B101025,RC105,2025-04-29 15:36:00,7162,Delivered
SH200060,B102534,RC105,2025-04-01 00:47:00,3736,Delivered
SH200061,B100900,RC112,2024-03-05 14:47:00,3541,Delivered
SH200062,B102112,RC113,2024-07-20 09:58:00,4965,Delivered
SH200063,B101653,RC103,2025-01-03 23:15:00,4537,Delivered
SH200064,B101809,RC122,2024-03-29 11:27:00,4558,Delivered
SH200065,B100151,RC107,2023-06-04 14:11:00,3877,Delivered
SH200066,B102029,RC121,2024-02-22 05:27:00,3357,Delivered
SH200067,B101352,RC124,2025-01-22 01:44:00,6946,Delivered
SH200068,B100418,RC107,2023-12-12 23:29:00,1235,Delivered
SH200069,B101666,RC109,2025-02-07 04:12:00,1891,Delayed
SH200070,B101828,RC104,2025-01-11 22:05:00,4664,Delivered
SH200071,B100357,RC113,2024-12-18 09:56:00,4298,Delivered
SH200072,B101501,RC115,2024-07-17 15:13:00,2468,Delivered
SH200073,B101024,RC113,2023-07-28 05:15:00,5950,Delivered
SH200074,B102257,RC123,2024-12-15 07:55:00,858,Delivered
SH200075,B101513,RC118,2025-01-20 11:09:00,6976,Delivered
SH200076,B100100,RC100,2024-08-11 14:32:00,4240,Delivered
SH200077,B100911,RC111,2023-03-28 09:09:00,3524,Delivered
SH200078,B101689,RC105,2023-06-28 14:58:00,1762,Delivered
SH200079,B101253,RC118,2025-04-30 05:13:00,5851,Delivered
SH200080,B100801,RC106,2023-03-09 03:27:00,533,Delivered
SH200081,B101243,RC101,2024-03-21 01:12:00,3272,Delivered
SH200082,B100983,RC123,2023-04-06 08:12:00,6497,Delivered
SH200083,B100279,RC109,2023-11-29 15:42:00,3656,In Transit
SH200084,B102090,RC119,2024-02-20 04:57:00,4924,Delivered
SH200085,B101763,RC112,2023-12-11 13:21:00,1699,Delivered
SH200086,B101591,RC119,2024-07-21 06:59:00,6143,Delivered
SH200087,B100222,RC113,2025-06-11 02:39:00,6510,Delivered
SH200088,B102009,RC111,2024-08-11 00:03:00,4363,Delivered
SH200089,B101741,RC123,2023-06-24 11:24:00,1112,Delivered
SH200090,B102418,RC113,2023-07-20 15:59:00,6295,Delivered
